iteration,Train/mean_reward,Train/mean_episode_length,Episode_Reward/action_rate,Episode_Reward/joint_vel,Episode_Reward/peg_hole_xy_alignment,Episode_Reward/peg_insertion_progress,Metrics/object_pose/position_error,Metrics/object_pose/orientation_error,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time
0,0.2753176689147949,19.799999237060547,-5.7683297200128436e-05,-9.863569721346721e-05,0.01633138209581375,0.007893981412053108,0.12947991490364075,1.6587507724761963,0.008048431016504765,-0.02119552716612816,11.351539611816406,9.999999747378752e-06,1.0000208616256714,401.0,3.4224328994750977,0.4027087688446045
1,0.35528048872947693,25.55555534362793,-0.00020004759426228702,-0.00035303199547342956,0.06157352775335312,0.02964276447892189,0.284250944852829,2.9848756790161133,0.010036997497081757,-0.01158399973064661,11.349486351013184,3.3749998692655936e-05,0.9993429183959961,1303.0,0.8959450721740723,0.2828655242919922
2,0.5799219608306885,41.764705657958984,-0.00035685053444467485,-0.0006393083604052663,0.10931028425693512,0.05289161205291748,0.2738356292247772,2.9509119987487793,0.0065989019349217415,-0.01974296383559704,11.346732139587402,2.2500000341096893e-05,0.9995946884155273,1321.0,0.9134023189544678,0.24850201606750488
3,0.7127557992935181,51.318180084228516,-0.0005490680923685431,-0.0008905611466616392,0.15582752227783203,0.07530634105205536,0.4185311496257782,2.6505327224731445,0.004261021502315998,-0.015402786433696747,11.352690696716309,1.4999999621068127e-05,1.0006234645843506,1276.0,0.9202196598052979,0.2828481197357178
4,0.9645817875862122,69.375,-0.0007193928468041122,-0.0011460792738944292,0.19971680641174316,0.09643077850341797,0.42630934715270996,2.7232484817504883,0.0028678840026259422,-0.014118541032075882,11.357503890991211,3.3749998692655936e-05,1.0009212493896484,1280.0,0.9325704574584961,0.2669968605041504
5,1.1637370586395264,83.51219177246094,-0.0008328393450938165,-0.0014112349599599838,0.2479185312986374,0.11902843415737152,0.5200872421264648,2.7940330505371094,0.002128362422809005,-0.01628655195236206,11.36115837097168,1.4999999621068127e-05,1.0014482736587524,1282.0,0.9294707775115967,0.2682785987854004
6,1.1877514123916626,85.21428680419922,-0.0010000636102631688,-0.0016453023999929428,0.28510844707489014,0.13752159476280212,0.7448982000350952,2.3284518718719482,0.0016777304699644446,-0.01781272143125534,11.368884086608887,3.3749998692655936e-05,1.0031585693359375,1291.0,0.9193384647369385,0.2696988582611084
7,1.3530231714248657,97.02083587646484,-0.0011992014478892088,-0.001922560390084982,0.338070809841156,0.16279944777488708,0.6212483644485474,2.693436622619629,0.0014693650882691145,-0.0188470296561718,11.379972457885742,2.2500000341096893e-05,1.0038549900054932,1370.0,0.8491811752319336,0.27176690101623535
8,1.4880962371826172,106.71697998046875,-0.0013496107421815395,-0.0021753753535449505,0.38282907009124756,0.18430346250534058,0.5961434245109558,2.1416096687316895,0.0019253428326919675,-0.013111114501953125,11.383453369140625,2.2500000341096893e-05,1.0042293071746826,1262.0,0.9473073482513428,0.2697474956512451
9,1.7800896167755127,127.4375,-0.0014618434943258762,-0.0024958448484539986,0.4335264563560486,0.2079564332962036,0.7186771631240845,2.4275641441345215,0.0012631253339350224,-0.017433982342481613,11.383091926574707,1.4999999621068127e-05,1.0037537813186646,1214.0,0.9958841800689697,0.2693521976470947
10,1.8057856559753418,129.3230743408203,-0.0014868546277284622,-0.002812796039506793,0.4572688341140747,0.2186361402273178,0.840488851070404,2.3661746978759766,0.0012831577332690358,-0.01726503111422062,11.379767417907715,3.3749998692655936e-05,1.0034468173980713,1274.0,0.9351589679718018,0.27039551734924316
11,1.96830415725708,141.05555725097656,-0.0015906797489151359,-0.0026587031316012144,0.4731834828853607,0.22835509479045868,0.8054064512252808,2.2286641597747803,0.0011430173180997372,-0.01595037616789341,11.383283615112305,9.999999747378752e-06,1.0045599937438965,1417.0,0.8315143585205078,0.2520277500152588
12,2.0827438831329346,149.43589782714844,-0.0016714533558115363,-0.002608488779515028,0.46799802780151367,0.22730772197246552,0.7047852277755737,2.7296409606933594,0.0010448278626427054,-0.015131737105548382,11.389653205871582,3.3749998692655936e-05,1.0051935911178589,1279.0,0.9337153434753418,0.2671241760253906
13,2.1822524070739746,156.61904907226562,-0.0017145907040685415,-0.002653862815350294,0.471691370010376,0.22810089588165283,0.7975567579269409,2.342697858810425,0.0009684718097560108,-0.019327519461512566,11.396270751953125,1.4999999621068127e-05,1.0060741901397705,1467.0,0.7819721698760986,0.26465535163879395
14,2.309520721435547,165.65591430664062,-0.0017231295350939035,-0.0026706974022090435,0.4755377471446991,0.2287292182445526,0.6000825762748718,2.612558364868164,0.0009418451227247715,-0.015505119226872921,11.398941993713379,2.2500000341096893e-05,1.0058854818344116,1293.0,0.9338648319244385,0.25317978858947754
15,2.42649245262146,173.94000244140625,-0.0016821681056171656,-0.002674597082659602,0.4743022918701172,0.2285812348127365,0.6696256399154663,2.606605291366577,0.0009367642342112958,-0.015235227532684803,11.39933967590332,2.2500000341096893e-05,1.0063246488571167,1310.0,0.9123003482818604,0.2594590187072754
