window_start,window_end,iterations_recorded,Train/mean_reward,Train/mean_episode_length,Episode_Reward/action_rate,Episode_Reward/joint_vel,Episode_Reward/peg_hole_xy_alignment,Episode_Reward/peg_insertion_progress,Metrics/object_pose/position_error,Metrics/object_pose/orientation_error,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time
0,499,500,1.007866030871868,244.72256938552857,-0.1969887488231179,-0.3316573682117596,0.4685769997835159,0.2259276830665767,0.825765605032444,2.4289183406829835,0.006000096620406094,-0.014849290397018147,11.328930858612061,6.956062496100195e-05,0.9989568529129028,1341.644,0.8971283345222473,0.25818959856033324
500,999,500,-4.679990745306015,249.97983984375,-0.4696062260866165,-1.1405796263217927,0.47380537730455397,0.22839642310142516,0.7260099995136261,2.7701993906497955,0.017508498289156654,-0.00974250202762773,7.081119473457337,7.489367257584189e-05,0.5950496978759766,1330.974,0.9081804280281067,0.2536815390586853
1000,1499,500,-0.5804383483380079,250.0,-0.15091041669249536,-0.6608126006126404,0.4741846721768379,0.22847851219773294,0.5952771173715592,3.0829845690727233,0.001168734012695446,-0.008810514809796537,2.56685226893425,4.373734406908417e-05,0.3376084235906601,1291.698,0.9295132803916931,0.2635488872528076
1500,1999,500,0.026979705379402728,250.0,-0.08344078832864758,-0.614220351099968,0.47372330164909365,0.22839423593878747,0.572647788643837,3.048694106578827,0.0004651323641591678,-0.007749516352661837,-0.45324120396748185,2.6767499697598397e-05,0.22999127274751663,1320.6,0.911178297996521,0.25656814289093016
2000,2499,500,0.2871799185574055,250.0,-0.06245086645334954,-0.5811853688955307,0.47394390201568604,0.22844754579663276,0.5663146599531174,3.0637308011054993,0.00019683766619704902,-0.007001289978827067,-2.3101222569942474,2.379687460779678e-05,0.1821639887392521,1275.386,0.9399224328994751,0.26728717374801636
2500,2999,500,0.43427979689836504,250.0,-0.05359891024976964,-0.561319387793541,0.4740011232495308,0.22845248100161553,0.5734574268460274,3.0675309081077575,0.000158055636231388,-0.006953911162112443,-3.784132182598114,1.810249972550082e-05,0.1514041938483715,1301.762,0.9223268232345581,0.26085544061660765
3000,3499,500,0.5162169714570045,250.0,-0.04803324178606268,-0.5513788154125213,0.4738447027802467,0.22842488205432893,0.5767663796544075,3.0728447051048278,0.00014306849130657671,-0.006946201368846184,-4.859813968658448,1.5694999779952924e-05,0.1330204035639763,1320.386,0.9061281104087829,0.2602826142311096
3500,3999,500,0.5876514559984207,250.0,-0.043718639165163,-0.5404076389074326,0.4737526844739914,0.22841986054182054,0.5695763517022133,3.0636316466331484,0.00013088752886683408,-0.006542055654164821,-5.900437155723572,1.3894999807234854e-05,0.11819397431612012,1417.54,0.8394175109863281,0.24825123167037963
4000,4499,500,0.6374950885772706,250.0,-0.04419426459074016,-0.5301792645454406,0.47381000679731367,0.22842295876145363,0.5644262025356293,3.061311515331268,0.00011838485363110472,-0.005614165798033314,-6.6289684171676635,1.2042499769449933e-05,0.10916292469203469,1406.116,0.8486162457466125,0.2489074878692627
4500,4999,500,0.6782059781551361,250.0,-0.04112501675635572,-0.5254634147882462,0.47386909228563306,0.22843237575888634,0.5625368759632111,3.0516147232055664,0.00012071592513526385,-0.004737428196305663,-7.3798395538330075,1.1029999750462594e-05,0.1015974809080362,1370.276,0.8743498640060425,0.25219682359695433
5000,5499,500,0.7117450551986695,250.0,-0.03956588517129417,-0.5204251418113709,0.4740052670240402,0.22845121303200722,0.5635727311372757,3.0520301909446714,0.00011098805726211584,-0.0038590043811782045,-8.045828011512757,1.0599999743135412e-05,0.09459555923938748,1351.534,0.8899936156272888,0.2541672735214233
5500,5999,500,0.7321129480600357,250.0,-0.03876022476702924,-0.5173733662962914,0.47401616740226743,0.22845589098334312,0.5638248721957206,3.0528800435066223,0.00011210404444133516,-0.004138991668212804,-8.436685070037841,1.046499974472681e-05,0.09035154484212396,1412.364,0.8392461881637573,0.25383237218856813
6000,6499,500,0.7547240946292877,250.0,-0.03766334326565261,-0.5133782002925873,0.47341476678848265,0.22835648348927498,0.5622519483566284,3.0522766075134276,0.00010467894818427688,-0.003840531334688388,-8.71025213432312,1.032499974462553e-05,0.08779222208261488,1291.654,0.9314022469520569,0.26335430097579954
6500,6999,500,0.7733564876317978,250.0,-0.03605831004679199,-0.5119353060126305,0.47374636054039,0.22841058087348937,0.5602002159953118,3.04651424074173,0.0001066793535864848,-0.0036763900819336993,-9.057681852340698,1.0259999744448578e-05,0.08424758853018281,1272.978,0.9478518304824829,0.2665847682952881
7000,7499,500,0.7938643273115158,250.0,-0.03411847402900453,-0.5086123226284981,0.47356704181432724,0.22838688051700592,0.5635519281029702,3.0570953397750853,0.000103946569521189,-0.003096858218841559,-9.433471509933472,1.0174999744776869e-05,0.0808782068789005,1248.994,0.9634487919807434,0.2708418140411377
7500,7999,500,0.8055580936670304,250.0,-0.0350332193896174,-0.5069691148400307,0.4738965010046959,0.22842861735820771,0.5641576824784279,3.052333270072937,9.835584978280126e-05,-0.0031715176370198305,-9.623509386062622,1.0209999742073706e-05,0.07869216004014012,1254.696,0.9614726858139038,0.26958253383636477
8000,8499,500,0.8262939720153809,250.0,-0.03354812521859999,-0.5038161902427674,0.47402778577804566,0.22846179091930388,0.5592634313702584,3.050569687366486,9.84613482723716e-05,-0.004539210795192009,-9.977526403427124,1.0189999742578948e-05,0.07503360901772972,1240.312,0.967971477508545,0.2748191089630127
8500,8999,500,0.8400883309841156,250.0,-0.030993521947413633,-0.503369281232357,0.4736055333018303,0.22838917964696884,0.5617318804264069,3.0450617551803587,0.00010364522201414248,-0.004519811588317643,-10.191624383926392,1.0449999739648774e-05,0.0726544082611799,1296.54,0.9306471428871155,0.26791509294509885
9000,9499,500,0.8477626478672028,250.0,-0.03254119259864087,-0.4998760775923729,0.4735429090857506,0.22837886902689933,0.559228624522686,3.0439443187713624,9.923342807449201e-05,-0.005446004223034791,-10.245594631195068,1.0469999739143532e-05,0.07228099381923671,1329.494,0.9067111763954162,0.26270584201812747
9500,9999,500,0.862886589884758,250.0,-0.03179104232415553,-0.49783413606882093,0.47368136489391327,0.22839983060956,0.5613641331791878,3.0469873270988463,9.763486871086211e-05,-0.004843702414930666,-10.325072061538696,1.0414999742351938e-05,0.07176509004831311,1269.98,0.9499018483161926,0.273343111038208
