metric,first_500_mean,last_500_mean,absolute_change,percent_change
Train/mean_reward,1.007866030871868,0.862886589884758,-0.14497944098711013,-14.384792873879649
Train/mean_episode_length,244.72256938552857,250.0,5.277430614471427,2.156495262256552
Episode_Reward/action_rate,-0.1969887488231179,-0.03179104232415553,0.16519770649896237,83.86149335224133
Episode_Reward/joint_vel,-0.3316573682117596,-0.49783413606882093,-0.1661767678570613,-50.104952817137246
Episode_Reward/peg_hole_xy_alignment,0.4685769997835159,0.47368136489391327,0.0051043651103973575,1.089333260649923
Episode_Reward/peg_insertion_progress,0.2259276830665767,0.22839983060956,0.002472147542983305,1.0942207300266116
Metrics/object_pose/position_error,0.825765605032444,0.5613641331791878,-0.26440147185325624,-32.01894947451438
Metrics/object_pose/orientation_error,2.4289183406829835,3.0469873270988463,0.6180689864158628,25.44626453938624
Loss/value_function,0.006000096620406094,9.763486871086211e-05,-0.005902461751695232,-98.3727783919544
Loss/surrogate,-0.014849290397018147,-0.004843702414930666,0.01000558798208748,67.38091662680851
Loss/entropy,11.328930858612061,-10.325072061538696,-21.65400292015076,-191.13898028329615
Loss/learning_rate,6.956062496100195e-05,1.0414999742351938e-05,-5.9145625218650015e-05,-85.02744943969243
Policy/mean_noise_std,0.9989568529129028,0.07176509004831311,-0.9271917628645897,-92.81599702338994
Perf/total_fps,1341.644,1269.98,-71.66399999999999,-5.3415063906669715
Perf/collection time,0.8971283345222473,0.9499018483161926,0.05277351379394535,5.8824932580074085
Perf/learning_time,0.25818959856033324,0.273343111038208,0.015153512477874775,5.869141345108731
